Source Name	Comment[ENA_SAMPLE]	Comment[BioSD_SAMPLE]	Characteristics[organism]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[cell type]	Characteristics[FACS marker]	Characteristics[organism part]	Characteristics[stimulus]	Characteristics[inferred cell type]	Characteristics[plate identity]	Characteristics[run id]	Characteristics[single cell well quality]	Characteristics[post analysis well quality]	Material Type	Protocol REF	Protocol REF	Protocol REF	Protocol REF	Extract Name	Comment[LIBRARY_LAYOUT]	Comment[LIBRARY_SELECTION]	Comment[LIBRARY_SOURCE]	Comment[LIBRARY_STRAND]	Comment[LIBRARY_STRATEGY]	Comment[NOMINAL_LENGTH]	Comment[NOMINAL_SDEV]	Comment[ORIENTATION]	Comment[end bias]	Comment[input molecule]	Comment[library construction]	Comment[primer]	Comment[single cell isolation]	Comment[spike in]	Protocol REF	Performer	Assay Name	Technology Type	Comment[ENA_EXPERIMENT]	Scan Name	Comment[SUBMITTED_FILE_NAME]	Comment[ENA_RUN]	Comment[FASTQ_URI]	Factor Value[single cell identifier]	Factor Value[cell type]	Factor Value[FACS marker]	Factor Value[organism part]	Factor Value[stimulus]	Factor Value[inferred cell type]
23971_#303	ERS3961282	SAMEA6161271	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#303	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#303	sequencing assay	ERX3640918	23971_303_R2.fastq.gz	23971_303_R2.fastq.gz	ERR3648834	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3648834/ERR3648834_2.fastq.gz	cell23971_303	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#304	ERS3961283	SAMEA6161272	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#304	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#304	sequencing assay	ERX3640919	23971_304_R1.fastq.gz	23971_304_R1.fastq.gz	ERR3648835	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3648835/ERR3648835_1.fastq.gz	cell23971_304	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#304	ERS3961283	SAMEA6161272	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#304	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#304	sequencing assay	ERX3640919	23971_304_R2.fastq.gz	23971_304_R2.fastq.gz	ERR3648835	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3648835/ERR3648835_2.fastq.gz	cell23971_304	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#305	ERS3961284	SAMEA6161273	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#305	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#305	sequencing assay	ERX3640920	23971_305_R1.fastq.gz	23971_305_R1.fastq.gz	ERR3648836	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3648836/ERR3648836_1.fastq.gz	cell23971_305	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#305	ERS3961284	SAMEA6161273	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#305	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#305	sequencing assay	ERX3640920	23971_305_R2.fastq.gz	23971_305_R2.fastq.gz	ERR3648836	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3648836/ERR3648836_2.fastq.gz	cell23971_305	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#306	ERS3961285	SAMEA6161274	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#306	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#306	sequencing assay	ERX3640921	23971_306_R1.fastq.gz	23971_306_R1.fastq.gz	ERR3648837	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648837/ERR3648837_1.fastq.gz	cell23971_306	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#306	ERS3961285	SAMEA6161274	Homo sapiens	adult	normal	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#306	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#306	sequencing assay	ERX3640921	23971_306_R2.fastq.gz	23971_306_R2.fastq.gz	ERR3648837	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648837/ERR3648837_2.fastq.gz	cell23971_306	dendritic cell	CD1a- CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#307	ERS3961286	SAMEA6161275	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#307	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#307	sequencing assay	ERX3640922	23971_307_R1.fastq.gz	23971_307_R1.fastq.gz	ERR3648838	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648838/ERR3648838_1.fastq.gz	cell23971_307	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#307	ERS3961286	SAMEA6161275	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#307	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#307	sequencing assay	ERX3640922	23971_307_R2.fastq.gz	23971_307_R2.fastq.gz	ERR3648838	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648838/ERR3648838_2.fastq.gz	cell23971_307	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#308	ERS3961287	SAMEA6161276	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#308	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#308	sequencing assay	ERX3640923	23971_308_R1.fastq.gz	23971_308_R1.fastq.gz	ERR3648839	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648839/ERR3648839_1.fastq.gz	cell23971_308	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#308	ERS3961287	SAMEA6161276	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#308	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#308	sequencing assay	ERX3640923	23971_308_R2.fastq.gz	23971_308_R2.fastq.gz	ERR3648839	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648839/ERR3648839_2.fastq.gz	cell23971_308	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#309	ERS3961288	SAMEA6161277	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#309	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#309	sequencing assay	ERX3640924	23971_309_R1.fastq.gz	23971_309_R1.fastq.gz	ERR3648840	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3648840/ERR3648840_1.fastq.gz	cell23971_309	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#309	ERS3961288	SAMEA6161277	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#309	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#309	sequencing assay	ERX3640924	23971_309_R2.fastq.gz	23971_309_R2.fastq.gz	ERR3648840	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/000/ERR3648840/ERR3648840_2.fastq.gz	cell23971_309	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#31	ERS3961289	SAMEA6161278	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#31	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#31	sequencing assay	ERX3640925	23971_31_R1.fastq.gz	23971_31_R1.fastq.gz	ERR3648841	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3648841/ERR3648841_1.fastq.gz	cell23971_31	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell
23971_#31	ERS3961289	SAMEA6161278	Homo sapiens	adult	normal	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell	CF03YBYA	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#31	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#31	sequencing assay	ERX3640925	23971_31_R2.fastq.gz	23971_31_R2.fastq.gz	ERR3648841	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/001/ERR3648841/ERR3648841_2.fastq.gz	cell23971_31	conventional dendritic cell	CD11c+ HLA-DR+	skin	house dust mite extract	Axl+Siglec-6+ dendritic cell
23971_#310	ERS3961290	SAMEA6161279	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#310	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#310	sequencing assay	ERX3640926	23971_310_R1.fastq.gz	23971_310_R1.fastq.gz	ERR3648842	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/002/ERR3648842/ERR3648842_1.fastq.gz	cell23971_310	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#310	ERS3961290	SAMEA6161279	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#310	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#310	sequencing assay	ERX3640926	23971_310_R2.fastq.gz	23971_310_R2.fastq.gz	ERR3648842	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/002/ERR3648842/ERR3648842_2.fastq.gz	cell23971_310	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#311	ERS3961291	SAMEA6161280	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#311	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#311	sequencing assay	ERX3640927	23971_311_R1.fastq.gz	23971_311_R1.fastq.gz	ERR3648843	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/003/ERR3648843/ERR3648843_1.fastq.gz	cell23971_311	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#311	ERS3961291	SAMEA6161280	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#311	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#311	sequencing assay	ERX3640927	23971_311_R2.fastq.gz	23971_311_R2.fastq.gz	ERR3648843	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/003/ERR3648843/ERR3648843_2.fastq.gz	cell23971_311	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#312	ERS3961292	SAMEA6161281	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#312	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#312	sequencing assay	ERX3640928	23971_312_R1.fastq.gz	23971_312_R1.fastq.gz	ERR3648844	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3648844/ERR3648844_1.fastq.gz	cell23971_312	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#312	ERS3961292	SAMEA6161281	Homo sapiens	adult	normal	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available	CF03YBY5	23971	OK	fail	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#312	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#312	sequencing assay	ERX3640928	23971_312_R2.fastq.gz	23971_312_R2.fastq.gz	ERR3648844	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/004/ERR3648844/ERR3648844_2.fastq.gz	cell23971_312	dendritic cell	CD1a+ CD123Int BDCA2+	skin	house dust mite extract	not available
23971_#313	ERS3961293	SAMEA6161282	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#313	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#313	sequencing assay	ERX3640929	23971_313_R1.fastq.gz	23971_313_R1.fastq.gz	ERR3648845	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3648845/ERR3648845_1.fastq.gz	cell23971_313	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#313	ERS3961293	SAMEA6161282	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#313	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#313	sequencing assay	ERX3640929	23971_313_R2.fastq.gz	23971_313_R2.fastq.gz	ERR3648845	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/005/ERR3648845/ERR3648845_2.fastq.gz	cell23971_313	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#314	ERS3961294	SAMEA6161283	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#314	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#314	sequencing assay	ERX3640930	23971_314_R1.fastq.gz	23971_314_R1.fastq.gz	ERR3648846	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3648846/ERR3648846_1.fastq.gz	cell23971_314	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#314	ERS3961294	SAMEA6161283	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#314	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#314	sequencing assay	ERX3640930	23971_314_R2.fastq.gz	23971_314_R2.fastq.gz	ERR3648846	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/006/ERR3648846/ERR3648846_2.fastq.gz	cell23971_314	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#315	ERS3961295	SAMEA6161284	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#315	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#315	sequencing assay	ERX3640931	23971_315_R1.fastq.gz	23971_315_R1.fastq.gz	ERR3648847	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648847/ERR3648847_1.fastq.gz	cell23971_315	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#315	ERS3961295	SAMEA6161284	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#315	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#315	sequencing assay	ERX3640931	23971_315_R2.fastq.gz	23971_315_R2.fastq.gz	ERR3648847	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/007/ERR3648847/ERR3648847_2.fastq.gz	cell23971_315	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#316	ERS3961296	SAMEA6161285	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#316	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#316	sequencing assay	ERX3640932	23971_316_R1.fastq.gz	23971_316_R1.fastq.gz	ERR3648848	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648848/ERR3648848_1.fastq.gz	cell23971_316	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#316	ERS3961296	SAMEA6161285	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#316	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#316	sequencing assay	ERX3640932	23971_316_R2.fastq.gz	23971_316_R2.fastq.gz	ERR3648848	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/008/ERR3648848/ERR3648848_2.fastq.gz	cell23971_316	plasmacytoid dendritic cell	CD123Hi BDCA2+	skin	none	plasmacytoid dendritic cell
23971_#317	ERS3961297	SAMEA6161286	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	none	monocyte	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#317	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#317	sequencing assay	ERX3640933	23971_317_R1.fastq.gz	23971_317_R1.fastq.gz	ERR3648849	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648849/ERR3648849_1.fastq.gz	cell23971_317	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	none	monocyte
23971_#317	ERS3961297	SAMEA6161286	Homo sapiens	adult	normal	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	none	monocyte	CF03YBYC	23971	OK	pass	cell	P-MTAB-90920	P-MTAB-90924	P-MTAB-90921	P-MTAB-90922	23971_#317	PAIRED	Oligo-dT	TRANSCRIPTOMIC SINGLE CELL	not applicable	RNA-Seq	350	250	5'-3'-3'-5'	none	polyA RNA	Smart-seq2	oligo-dT	FACS	ERCC	P-MTAB-90923	WSI Sequencing Facility	23971_#317	sequencing assay	ERX3640933	23971_317_R2.fastq.gz	23971_317_R2.fastq.gz	ERR3648849	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR364/009/ERR3648849/ERR3648849_2.fastq.gz	cell23971_317	plasmacytoid dendritic cell	CD123Int BDCA2+	skin	none	monocyte
